,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
LanaDelRey\03 Blue Jeans (Remastered).mp3,2.5686833333333334,7786.132164435215,-0.005683582394724442,3.8892406544246967,-0.02923171538619231,4033.64647080326,0.08564462527579758,6.906948899344997,2.5686833333333303,5721.7118907288805,0.0049165441678666755,4.374140511940895,-0.19060151002516768,6889.323736924549,0.033174213708057024,3.6978972094064964,2.568683333333336,1471.1084698423724,0.2891458922515194,8.527578315634225,0.2760826804467448,2673.7821251572636,-0.060455400491940856,8.778188230516388,2.5686833333333343,133.1504341101312,0.024750373020881383,5.916791085336425,0.050878130217029804,220.4002534340796,0.18623208929631538,6.04413772328977,0.3090612713821286,0.23297288508824648,0.11431134404614467,0.07964220709538292,0.0551951958180416,0.04328958539797192,0.05699819151988078,0.052068461365684056,0.029752674190139834,0.02670818409637928
LanaDelRey\05 Diet Mountain Dew.mp3,6.527305,10489.01042259045,-0.024929968701759432,3.176725346485553,-0.02352837254728758,4064.4647935148255,-0.06115199586855407,5.409379774764932,6.527305000000005,9103.359334482424,0.02753982400546706,3.553061216165991,-0.05107585126419277,9490.460656929381,0.08747216779019971,3.5987023907819067,6.527304999999996,2201.8682446333055,-0.09226444558916004,5.637501936561446,0.04533088848140708,3944.695229834345,0.0738324425075383,5.626110972898567,6.527305000000001,218.6117899182597,0.1331962017781821,4.0647749713386885,0.24602003338897996,365.3346934893645,-0.0829928722498469,3.9824201190451842,0.41121063896467847,0.1736797182993142,0.07562161866627748,0.08245523929045853,0.06907092190179677,0.05008589305666764,0.048076704713913454,0.03189780932196361,0.030498500891112737,0.0274029548938171
LanaDelRey\06 National Anthem.mp3,-3.89528,9281.813116811843,0.0344624551871177,3.587357956143582,-0.00016000026666711112,4462.901117093074,0.011915351232997539,5.7872307178013775,-3.895279999999991,7203.781007781936,-0.014302942921806568,4.614764883925383,-0.19728162136035451,8256.849639258257,0.0073065902704617346,4.787717009509708,-3.8952800000000036,2439.428100584579,0.1902413500473388,15.075771720674874,0.11210535089182175,4645.902546140167,0.02998888940875203,15.412402319911465,-3.8952799999999996,213.0887196930618,0.14137024068266082,7.944415149187746,-1.0011001669449078,369.37194992855103,0.01047671240656759,7.873827613312676,0.31939863059964835,0.20719518902861953,0.14155666195647543,0.10161848043212933,0.060249360938879025,0.04605904019520202,0.04397218641250654,0.03293496169845101,0.025439449741545456,0.021576038996543374
LanaDelRey\08 Radio.mp3,-6.871208333333334,8187.590695864751,0.08722286881813107,3.654199598667968,-0.0066783444639074395,3904.8411117403043,-0.011631136334959206,6.525476146776032,-6.871208333333334,6449.260423000444,0.03488388377992406,4.301505438616063,-0.028803813396890688,7279.941615994588,0.028927252454319888,4.004449902354341,-6.871208333333324,1955.648988834761,-0.05053206406189487,11.965466726908351,0.01261876979496936,3611.529980036108,0.1296019725887128,12.392999101971778,-6.871208333333331,258.05210288651966,0.2623242988216023,6.735047702430793,0.36542404006677587,470.72488294279674,-0.1220297399966103,7.174840633127398,0.3450919641092748,0.20824043206530726,0.11072595507458739,0.08224272898240725,0.06399596200070268,0.05164021108929406,0.04343983781742911,0.037212026852227166,0.030005609266216423,0.02740527274255384
LanaDelRey\11 Summertime Sadness.mp3,0.5087983333333334,8074.077751029271,-0.01937103505827538,3.6807829427292873,0.020025033375055627,3938.4250211774684,-0.1190693695574188,6.283057606943863,0.5087983333333301,6456.348670094557,-0.008654633977094988,4.010984375142754,0.20628177136285075,5830.281396914288,-0.07147973615083754,3.9822490721922326,0.508798333333337,2566.5888092639366,-0.035037136106010926,5.162813751562094,0.07766627771296249,4800.251997819987,-0.08054488167297966,5.297744112882762,0.5087983333333346,223.55422685858795,-0.24360170334765543,5.167937750251825,0.18105008347245422,393.79276256155845,0.09621621578225198,5.264397367670502,0.3088240366037748,0.21668196655926278,0.12131116453603753,0.08883603180325755,0.059809840852309254,0.04961117283803624,0.04820540313854042,0.03560177097640633,0.040147190124766155,0.0309714225676092
LanaDelRey\02 Off to the Races.mp3,-0.025618333333333333,8100.552595020418,0.0038609007015101607,3.613175095403229,-0.015218358697264496,3483.3038698602145,-0.10720642118364695,8.200709617842898,-0.02561833333333416,7025.032895543825,0.0028552842314080056,3.622334085935109,-0.13847564126069048,5477.373450960613,-0.013545416470946014,5.213361801912247,-0.025618333333329777,3363.905913880641,-0.015865110609119576,3.861821994084215,-2.2850158359726622,6205.076430755562,-0.028992434256438097,3.968335376932157,-0.025618333333333965,244.58433821126542,-0.4262950002366353,4.598226994385222,-1.6193606010016703,383.87844162128476,-0.17552816703275986,5.255769974111308,0.3477968614098337,0.1737780415231317,0.11593653715570017,0.08268717845483288,0.059132515908298426,0.05762901842651824,0.05640661998986733,0.04774971464225108,0.03455399729899877,0.024329515190567735
LanaDelRey\07 Dark Paradise.mp3,-6.557611666666666,7753.279973765353,0.06917397061193568,3.728066696465111,-0.007195011991686653,3096.923763297685,0.08305040684732584,5.479077570225179,-6.557611666666667,6690.426014904263,0.012652579770424192,4.233944756514533,-0.0766629443824025,5254.782897077701,0.035655606945842695,3.852989375437891,-6.557611666666662,3646.2876498644996,-0.017526150802114757,4.281400237798806,-0.12656442740456975,7169.601609901471,-0.002908540981489,4.31085520055605,-6.5576116666666655,230.27633818907853,-0.37389114555539543,3.359521179976307,0.024859766277129172,330.900711629327,-0.4154795520780244,4.175469428264885,0.3386311853850585,0.20450984492027927,0.11975573713018416,0.07988855616723173,0.06079553635161222,0.04781999577520769,0.03813696233617377,0.030798393425838497,0.040059807698420595,0.03960398080999353
LanaDelRey\04 Video Games (Remastered).mp3,2.9170766666666665,5563.624089238392,-0.31034510977055657,3.6023406740021207,-0.0048250080416800695,2380.595962027214,0.809331989011705,12.594089471034334,2.917076666666665,4266.4516006503645,-0.20464067737835662,3.193738920143814,-0.06424607076784498,5912.581666089101,0.04305896076399283,3.1818096083653473,2.917076666666667,532.6237341673645,0.033734179315578046,4.242123512888529,0.044074012335386444,889.8849328145823,0.022342588936113263,5.143125270287757,2.917076666666667,58.250026274020875,-0.08219969515023516,4.758054504091414,0.0938313856427387,97.58422858341565,0.1885828103127538,4.167290588080816,0.3513124149602687,0.23593220948657342,0.1121296645240828,0.07831319001738558,0.05068481607320042,0.0424682327271192,0.03970959731045426,0.027330533437171733,0.035748384358974636,0.0263709571047694
LanaDelRey\01 Born to Die.mp3,16.503028333333333,8711.16677364409,-0.10271478517580745,3.451052310693378,-0.0004450007416679028,4071.854529574575,-0.014847344251204693,5.230087354765455,16.503028333333333,6796.573426889563,-0.03459785752206881,3.9265826821103555,-0.024285404756748695,7369.498292866497,0.09981964332298149,3.510527537434339,16.50302833333333,2618.6405666475457,-0.05918072360269775,4.413501164406197,0.042295382563762675,4842.836180134094,0.03665389092539371,4.64420131267431,16.503028333333333,205.80806761386737,0.22229586819216993,3.7778035003525403,0.1450317195325517,340.4533829154857,0.18231723250092605,3.982887473262812,0.32984565262962284,0.22654090437051447,0.1152255685610223,0.09781952725939577,0.06276737429903816,0.04952140639106012,0.03864898577578663,0.030960931359567772,0.026751291507099092,0.021918357846892795
LanaDelRey\10 Million Dollar Man.mp3,7.591345,8141.675949624423,-0.050963852069956496,3.5807664737464324,-0.018728364547274244,4073.295383270944,0.05219729517598654,6.573236661871294,7.591345000000002,5793.927383567292,0.06194285845824793,3.9742257891287665,-0.2359922665377818,6933.77296917185,0.1899107938084843,3.657635107323128,7.591345000000004,1911.8570831179584,-0.09918500764680134,10.368687265582635,-0.044135689281546236,3579.6062774228503,0.010173317813665239,11.63494456060641,7.591345,155.8777025091016,-0.2547559929098487,5.220636621842644,-0.08064440734557911,257.71972497305234,0.17371706160326703,5.613478707439542,0.3084887579520202,0.25528312524611657,0.12076642313700253,0.083700692341687,0.05742091739922368,0.04648441948151874,0.04767221543774861,0.03157644632934873,0.028682644956310923,0.019924357719023175
